2013-01-01 06:31:32,trimmed portfolio by 20 into eoy breakout  now 25 cash  kept bac fb yhoo  mcd brkb ,unknown
2013-01-01 07:55:23,high beta stacked sma screen bac bc htz thc uri amp more  some very nice setups  httpstkscohihq ,unknown
2013-01-01 08:36:32,merry cliffmiss to all amp happy new yearbac ,Bullish
2013-01-01 08:51:17,ufol   i39m long termwas to scared to buy bac at 5 huge mistake learning from my mistakes amp getting good stocks at discount think 5yrs ,unknown
2013-01-01 08:56:58,ufol   meaning i thought that bac at 5 would hit 20 in 2years and nflx at 50 would hit 100 was too afraid  i like c fcx x fb ,unknown
2013-01-01 09:02:32,ufol bac daily is at breakout levels  i think it goes to 14  long term bac is great part of the housing play too ,unknown
2013-01-01 09:13:45,ufol   i39ve learned prior to selling whether a stock will rebound abit prior to steeper declinereducing my loss bac qqq ,unknown
2013-01-01 09:14:23,thinking about trading gnw during my 30 day irs imposed exile from bac current and historic correlation is pretty tight any thoughts ,unknown
2013-01-01 09:45:25,aaronapro happy new year  thoughts on support levels if bac consolidates prior to earnings  ,unknown
2013-01-01 09:55:00,tman2k aapl   if staple hits 600 that39s 20 profit  i can get that and more in a more bullish stock like bac or c check out fcx ,unknown
2013-01-01 10:31:35,hp is the bac of tech a giant cleaning house spending amp getting smaller still quotcheapquot is v risky trade httpstkscohii9 ,unknown
2013-01-01 10:48:55,hpq is the bac of tech a giant cleaning house spending amp getting smaller still quotcheapquot is v risky  httpstkscoji7e ,unknown
2013-01-01 10:53:42,quotzeroosum hpq is the bac of tech a giant cleaning house spending amp getting smaller still quotcheapquot is v risky  httpstkscoehdnquot ,unknown
2013-01-01 12:08:30,bac 30 in a few year is not a pipe dream it39s a very conservative estimate ,unknown
2013-01-01 12:23:25,bac  bull flag still clean and clear   httpstkscoohia ,unknown
2013-01-01 12:28:12,favorite bank c or ms bac is obviously the strongest though ,unknown
2013-01-01 13:07:39,aapl fb bac ma spy happy new year everyone  i certainly hope most of you feel better than i do today  i39ve demolished my liver ,unknown
2013-01-01 13:11:05,trov vrng bac aapl goog my picks for 2013 ,unknown
2013-01-01 13:26:47,bac portfoolio happy new year  any thoughts on support levels if consolidates before earnings  ,unknown
2013-01-01 13:33:44,uroptiontrader    i think there is a chance strong chance it hits 14  swing trade it higher bac ,unknown
2013-01-01 13:38:39,bac backtoback darvis boxes  looking to add add a breakout of 1170 ,Bullish
2013-01-01 13:39:34,bac backtoback darvis boxes  looking to add at 1170 httpstkscolhin ,Bullish
2013-01-01 14:17:54,the daily analysis for tomorrow  httpstkscokhhv spy aapl goog amzn bac ,unknown
2013-01-01 14:36:44,bac if the house messes this up they should all be fired ,unknown
2013-01-01 14:41:45,bac is a bad investment for the following reasons ,unknown
2013-01-01 15:56:22,bacswimstar492  brilliant analysis  you must write brian moynihan so he plans for all these costs amp expenseshow ,unknown
2013-01-01 16:17:32,swimstar492 9512 your stocktwit bac has no reason to trade highertoday bac is a bad investment write brian moynihan so he knows lmao  ,unknown
2013-01-01 16:35:49,bac hope this stock tanks tommorow ,Bearish
2013-01-01 16:59:38,jpmorgan top 10 macro questions for 2013 httpstkscogibp jpm c spy bac ,unknown
2013-01-01 18:32:35,bac looking a bit more hopeful at the moment ,unknown
2013-01-01 18:39:13,love my special 3 going into 13 fbc bac wu always watching lehnq  for that special bk surprise sggh for zell amp archstone to appear ,unknown
2013-01-01 19:07:02,bac fiscal cliff most likely averted tonight gapup tomorrow ,unknown
2013-01-01 19:12:08,bac according to cnn and bloomberg they39re going to vote on the senate bill as is in the 9 pm hour ,unknown
2013-01-01 19:38:54,tnathan95  spx aapl bac fb cthese are 1st going lower until friskie clifford is reslved but add some spec vrng pphm amrn ino ,unknown
2013-01-01 20:07:07,bac ascending triangle with break out point on move above 1170 with volume httpstksconhgn ,Bullish
2013-01-01 20:11:49,i think this deal could be just what the markets needed  nok bac wfc znga fb onnn mnst trtc brcd tomorrow could be awsome ,unknown
2013-01-01 20:16:36,kponch just what the markets needed nok bac wfc znga fb onnn mnst trtc brcd tomorrow could be awsomelt i dont think so ,unknown
2013-01-01 20:41:11,bac looking very good friends should easily gap to a 52week high at open ,unknown
2013-01-01 20:54:12,bac did anyone have a look at the hang seng financials sectorit39s unreal it is up 335 they seem to be happy ,unknown
2013-01-01 20:55:55,bac hang seng financials sector actually up 347 ,unknown
2013-01-01 21:37:11,first major hurdle is jpm earnings on jan 16 then bac and c earnings the next day jan 17 ,unknown
2013-01-01 21:50:00,imagine how strong us economy would be if banks actually loaned money then biz could invest bac wfc c ,unknown
2013-01-01 22:01:22,bac house passes fiscal cliff bill we are off to the races ,unknown
2013-01-01 22:02:08,bac   sad day for america ,unknown
2013-01-01 22:03:34,bac anyone have a link to overnight dow futures what are they looking like now ,unknown
2013-01-01 22:20:01,when it comes to stock and all things considered  bac is still cheaptoo cheap ,unknown
2013-01-01 22:29:58,cmg aapl bac f will continue to be really hot ,unknown
2013-01-01 22:30:51,quotsogenerous cmg aapl bac f will continue to be really hotquotwhat makes you do sure ,unknown
2013-01-01 22:50:35,f  stocks for wednesday aria spy bac m ,unknown
2013-01-01 22:51:59,trying to decide whether or not i should buy some bac san aapl in the pre market ,unknown
2013-01-01 23:28:23,scooter74839 bac i don39t have premarket buying power but if i would be you i would have done it ,unknown
2013-01-01 23:43:02,it really worries me how everyone expects the market to rally nowusually exact opposite happens every time we shall see soon bac spx jpm ,Bullish
2013-01-02 00:23:33,quotsspencersmb imagine how strong us economy would be if banks actually loaned money then biz could invest bac wfc cquot ,unknown
2013-01-02 00:34:44,posted 2 weeks ago why 2013 will be positive for the market httpstkscokhiw spy aapl qqq xlf tbt bac fxe ,Bullish
2013-01-02 02:55:00,schornack why i like aig and bac heading into 2013 httpstkscolhjy ,unknown
2013-01-02 03:00:03,quotthe pig is moving through the python at bacquot  tenstocksdotcom httpstkscochav ,unknown
2013-01-02 04:21:36,aapl spy bac mtg look ready to squeeze big time shorts here  ,unknown
2013-01-02 05:00:49,your daily analysis for today  httpstkscoohju spy aapl goog amzn bac ,unknown
2013-01-02 05:09:01,bencbanks you think it will get faded aapl bac ,unknown
2013-01-02 05:35:12,slv f bac aapl look very bullish today and primed to run higher spy  ,unknown
2013-01-02 05:59:33,bac about to see 12 ,unknown
2013-01-02 06:04:53,bac what will be hod ,unknown
2013-01-02 06:09:17,bac i cant imagine the look of horror on the faces of those who sold bac for a loss last week do yourselves a favor and stop trading ,Bullish
2013-01-02 06:19:20,bac market euphoria ,unknown
2013-01-02 06:23:26,craigmac91 bac im holding for the next 5 yrs i have no plans of sellingthis will eventually be 2025ps ,unknown
2013-01-02 06:25:15,bac hit 12 in pm ,unknown
2013-01-02 06:25:16,craigmac91 bac this is the yr theyll increase div yieldmore investors will see golden opp herebuy aig as well ,Bullish
2013-01-02 06:26:29,sejd213 craigmac91   same boat since 6 bac ,unknown
2013-01-02 06:27:01,craigmac91 i own bacaig from 2010 i buy on dips and continue to profit ,Bullish
2013-01-02 06:27:27,bac 1200 pm ,unknown
2013-01-02 06:28:59,bac 1202 ,unknown
2013-01-02 06:32:18,bac let the good times roll ,unknown
2013-01-02 06:34:44,bac only painful for those who sold out ,unknown
2013-01-02 06:35:25,bac however its not too late to get in because we will probably see a short squeeze today ,unknown
2013-01-02 06:37:29,bac special shout out to nstarpower out all day monday  been slamming the table saying 12 wtf ,unknown
2013-01-02 06:51:29,bac added at 1200 during pm today to cover off my covered calls that will be called away good problem to have ,unknown
2013-01-02 07:02:10,bac i am long bac at 1169 what is the next resistance level to watch ,unknown
2013-01-02 07:02:17,hugo48 happy new year  bac looking strong  aapl back relieve rally euphoria  what is your game plan for the week ,unknown
2013-01-02 07:14:39,bac short squeeze so sweet jump start for 2013 stay long bac ,unknown
2013-01-02 07:15:07,bac new highs premarket looking to take out this next resistance area 1270  httpstkscoehfy ,Bullish
2013-01-02 07:24:10,slv f mtg aapl bac big movers today  ,unknown
2013-01-02 07:40:10,i was off by 1 trading day bac at 12 hedge funds will be buying with many programs in 2013 xlf jpm c very good deal for stocks  spy ,unknown
2013-01-02 07:45:51,hlding qcor aapl bac into the open  should be a great move for all  gl and let39s make some  so we can pay our taxes ,unknown
2013-01-02 07:48:58,2013 should be a great year for aapl bac will keep adding on weakness peeling some off on strength  like today ,Bullish
2013-01-02 07:52:47,bac can39t believe anyone would be short this ,unknown
2013-01-02 07:52:49,using 1231 closing value for bac bac warrants owned by brkb are worth 5bn so warren doubled his investment in 2 years not bad at all ,unknown
2013-01-02 07:54:39,bac  getting pumped up now  banks overall seem to be in favor ,unknown
2013-01-02 07:57:27,rt reddogt3live i will be on bloomberg tv 900 spy qqq aapl bac don39t forget to mention yhoo ,unknown
2013-01-02 07:58:23,bac seems big money is holding the stock at 119912 the question is whether there will be a 945 sell off or is this a rocket today ,unknown
2013-01-02 08:04:04,smoog sounds like you39re following buffett39s advice to be greedy when others are fearful well done i have quite a few bac shares too  ,unknown
2013-01-02 08:19:15,bac 1203 and headed to test 1280still holding long ,Bullish
2013-01-02 08:26:49,bac long ,unknown
2013-01-02 08:27:41,bac no sell off today bac strong as a bull ,Bullish
2013-01-02 08:27:46,bac any guestimations as to how far bac will run today ,unknown
2013-01-02 08:28:58,bac  don39t know when will it be the best entry after market  any idea or should wait for a pullback ,unknown
2013-01-02 08:29:39,bac hard to say i39m just out of a trade maybe will fade  open amp will buy back around 1195 ,Bullish
2013-01-02 08:30:03,this week nflx 100 amzn 260 aapl 600 bac 1225 ibm 200 de 90 spy ,unknown
2013-01-02 08:32:49,bac will buy on pullback around 1195 1200 ,unknown
2013-01-02 08:33:45,bac on every new high in premarket it give up a good pullback and come stronger after  ,unknown
2013-01-02 08:34:28,bac w the 12 handle 1st time since may 3911 httpstkscomhjf i hear they39re introducing a tablet  ,unknown
2013-01-02 08:34:40,bac took some off the table on this spike up open  letting the rest ride ,unknown
2013-01-02 08:35:09,bac love all the talking heads on cnbc today  beating the drums  let39s see how long it takes the inflated open to drop ,unknown
2013-01-02 08:36:59,here goes aapl again amzn kicking ass sina bac why doesnt every1 day trade its very easy study to make  ,unknown
2013-01-02 08:37:33,bought bac long premarket glad it opened over 12 bc i think it will stay there ,Bullish
2013-01-02 08:38:37,bac target to be back  1202 ,unknown
